POLY_,POLY_ID,AREA,PERIMETER,OPPR,X,Y,KOORDH,POSTNAVN,OPPDATDATO,MALEMETODE,NOYAKTIGHE,SYNBARHET,H_MALEMETO,H_NOYAKTIG,MAX_AVVIK,OBJTYPE,POSTNR,KOMM,ID,Lat,Long
912,4478,71758123.20541,39323.09388,4,-46192.59000,6547581.31000,6.14000,ORRE,,55,1500,0,0,0,0,Postomr�de,4343,1120,1,59.28772,5.11688
913,4484,244598782.97894,63568.12513,4,-49406.76000,6585318.65000,0.00000,KVITS�Y,,55,1500,0,0,0,0,Postomr�de,4180,1144,1,59.28772,5.11688
914,4490,137915555.20310,60934.15213,4,7647.10000,6507982.95000,0.00000,MOI,,55,1500,0,0,0,0,Postomr�de,4460,1112,1,59.28772,5.11688
915,4496,222045521.13609,91705.14608,4,-11787.99000,6521751.99000,0.00000,HELLELAND,,55,1500,0,0,0,0,Postomr�de,4376,1101,1,59.28772,5.11688
916,4499,134005034.55717,50330.73995,4,6877.92000,6520289.93000,0.00000,HOVSHERAD,,55,1500,0,0,0,0,Postomr�de,4462,1112,1,59.28772,5.11688
917,4501,142288300.61937,62404.59469,4,-4198.37000,6517520.86000,273.73000,UALAND,,55,1500,0,0,0,0,Postomr�de,4463,1112,1,59.28772,5.11688
918,4509,1416292.19040,6123.28933,4,-48955.37000,6624591.54000,0.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5535,1106,1,59.28772,5.11688
919,4514,599393.31866,5128.18128,4,-50002.93000,6626619.06000,0.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5521,1106,1,59.28772,5.11688
920,4519,308396.52493,2592.97962,4,-50772.80000,6626040.62000,0.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5528,1106,1,59.28772,5.11688
921,4523,1615212.23291,8142.62876,4,-49316.96000,6625802.99000,0.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5532,1106,1,59.28772,5.11688
922,4527,281261.39328,2463.67822,4,-51169.83000,6626872.05000,0.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5525,1106,1,59.28772,5.11688
923,4532,920521.93762,6823.89262,4,-50419.76000,6629106.59000,0.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5516,1106,1,59.28772,5.11688
924,4537,6132981.94635,11534.35281,4,-52808.37000,6629369.57000,0.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5515,1106,1,59.28772,5.11688
925,4545,10156430.92099,20241.83422,4,-48181.93000,6629059.86000,0.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5518,1106,1,59.28772,5.11688
926,4547,983293.40094,5144.74207,4,-49549.00000,6629368.04000,0.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5517,1106,1,59.28772,5.11688
927,4556,59488832.30829,42506.90359,4,-50890.01000,6632268.00000,29.24000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5514,1106,1,59.28772,5.11688
928,4563,29876036.95654,23778.16382,4,-51467.25000,6623958.32000,0.00000,TORVASTAD,,55,1500,0,0,0,0,Postomr�de,4260,1149,1,59.28772,5.11688
929,4572,7691587.90948,12365.59164,4,-49100.95000,6622631.98000,11.10000,KARMSUND,,55,1500,0,0,0,0,Postomr�de,5542,1149,1,59.28772,5.11688
930,4575,610248.09085,3315.35636,4,-48189.96000,6623903.99000,81.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5536,1106,1,59.28772,5.11688
931,4578,1583540.87521,6034.40332,4,-49961.35000,6623767.03000,26.60000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5538,1106,1,59.28772,5.11688
932,4579,959454.58890,5240.32660,4,-48977.58000,6623677.78000,33.50000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5537,1106,1,59.28772,5.11688
933,4583,1841771.97015,6258.57252,4,-52075.90000,6627194.57000,0.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5523,1106,1,59.28772,5.11688
934,4586,172326876.43954,63763.22491,4,-57798.69000,6632272.42000,0.00000,R�V�R,,55,1500,0,0,0,0,Postomr�de,5549,1106,1,59.28772,5.11688
935,4590,699652.74490,7086.43457,4,-50703.95000,6627108.02000,0.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5522,1106,1,59.28772,5.11688
936,4591,1376053.88647,6244.73568,4,-49781.00000,6627304.32000,0.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5519,1106,1,59.28772,5.11688
937,4593,665835.79742,4221.76891,4,-49884.95000,6625339.00000,0.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5531,1106,1,59.28772,5.11688
938,4595,1253710.87296,5409.33172,4,-50675.97000,6625010.96000,0.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5529,1106,1,59.28772,5.11688
939,4596,1237889.69174,5432.48347,4,-51431.02000,6626162.99000,0.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5527,1106,1,59.28772,5.11688
940,4600,5198422.31012,10102.03143,4,-47524.28000,6626326.48000,158.00000,HAUGESUND,,55,1500,0,0,0,0,Postomr�de,5533,1106,1,59.28772,5.11688
941,4604,20536622.00525,18601.79448,4,-24189.39000,6589198.67000,0.00000,TALGJE,,55,1500,0,0,0,0,Postomr�de,4163,1141,1,59.28772,5.11688
942,4611,189910029.44012,56573.98275,4,-44763.53000,6603067.84000,0.00000,BOKN,,55,1500,0,0,0,0,Postomr�de,5561,1145,1,59.28772,5.11688
943,4615,17380149.13356,17690.94053,4,-35920.99000,6583090.99000,0.00000,BRU,,55,1500,0,0,0,0,Postomr�de,4158,1142,1,59.28772,5.11688
944,4619,119985205.12054,47965.54424,4,-30788.59000,6588692.59000,0.00000,RENNES�Y,,55,1500,0,0,0,0,Postomr�de,4150,1142,1,59.28772,5.11688
945,4623,55166613.70499,36933.69321,4,-36032.08000,6587333.17000,0.00000,MOSTER�Y,,55,1500,0,0,0,0,Postomr�de,4156,1142,1,59.28772,5.11688
946,4635,1134025.45988,6317.39249,4,-34933.78000,6558415.44000,0.00000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4321,1102,1,59.28772,5.11688
947,4640,2011749.08916,8568.70301,4,-34854.61000,6559908.62000,0.00000,SANDNES,,55,1500,0,0,0,0,Postomr�de,4318,1102,1,59.28772,5.11688
